"","log2FoldChange","padj","Factor"
"ko:K20011",-0.125829337907393,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K20301",0.551988366267438,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K20302",0.0521786783686879,0.970794180561819,"Menthol_Menthol_vs_Control"
"ko:K20346",-1.11574422353309,0.821929460209036,"Menthol_Menthol_vs_Control"
"ko:K20347",-0.66308106347265,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K20350",-1.572317665507,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K20352",0.0869373957452212,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K20369",0.605505036086256,0.0163258308617773,"Menthol_Menthol_vs_Control"
"ko:K20398",0.449370292614187,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K20399",-1.46873091963075,0.921033641639177,"Menthol_Menthol_vs_Control"
"ko:K20472",0.396039080085708,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K21870",-0.509332198059194,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K21891",-0.89579570175534,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K22069",0.575541218049256,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K22390",-0.411149310311885,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K22503",-0.352246389282874,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K22556",-2.51966568476166,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K22939",-0.439556080733608,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K23034",-2.02613696861817,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K000241",-0.985923135720892,0.519328149112886,"Vibrio_Vibrio_vs_Control"
"ko:K000311",-0.13511533418954,0.932698539671392,"Vibrio_Vibrio_vs_Control"
"ko:K001281",-0.0680329134520519,0.932698539671392,"Vibrio_Vibrio_vs_Control"
"ko:K001341",-0.918104840222308,0.577870067750379,"Vibrio_Vibrio_vs_Control"
"ko:K001401",1.18646239078685,0.345948621413541,"Vibrio_Vibrio_vs_Control"
"ko:K002071",-0.386889302908891,0.836951191553486,"Vibrio_Vibrio_vs_Control"
"ko:K002351",-0.964329574744392,0.182731427390485,"Vibrio_Vibrio_vs_Control"
"ko:K002491",-3.01294659113393,NA,"Vibrio_Vibrio_vs_Control"
"ko:K002621",-0.624585832993985,0.561541221869407,"Vibrio_Vibrio_vs_Control"
"ko:K003311",0.774494758297986,0.533987653323987,"Vibrio_Vibrio_vs_Control"
"ko:K003331",-0.283955272237517,0.7695009378895,"Vibrio_Vibrio_vs_Control"
"ko:K003381",0.971787555947115,NA,"Vibrio_Vibrio_vs_Control"
"ko:K003571",-1.7216081680248,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004111",-0.110974745170592,0.776389531554966,"Vibrio_Vibrio_vs_Control"
"ko:K004131",0.551192103820044,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004561",-0.697028620943629,0.519328149112886,"Vibrio_Vibrio_vs_Control"
"ko:K004691",-0.55345912294232,0.0491296416394392,"Vibrio_Vibrio_vs_Control"
"ko:K005001",-0.187714193646966,0.866129918839286,"Vibrio_Vibrio_vs_Control"
"ko:K005221",-0.297291687834599,0.615007213806384,"Vibrio_Vibrio_vs_Control"
"ko:K005441",0.47330461037368,0.891325358419711,"Vibrio_Vibrio_vs_Control"
"ko:K006161",1.0658994494952,NA,"Vibrio_Vibrio_vs_Control"
"ko:K006431",1.44005951426797,2.8557968763875e-05,"Vibrio_Vibrio_vs_Control"
"ko:K007991",-1.03853757585476,0.533987653323987,"Vibrio_Vibrio_vs_Control"
"ko:K008141",-0.482159889212537,NA,"Vibrio_Vibrio_vs_Control"
"ko:K008191",-0.117647310395879,0.862412133745713,"Vibrio_Vibrio_vs_Control"
"ko:K008561",1.34081246893961,0.288795817684631,"Vibrio_Vibrio_vs_Control"
"ko:K009331",-0.59287790836459,0.518296834601476,"Vibrio_Vibrio_vs_Control"
"ko:K009391",0.940517592059455,0.160272072856808,"Vibrio_Vibrio_vs_Control"
"ko:K009401",-0.758422134466516,0.550554332738543,"Vibrio_Vibrio_vs_Control"
